"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","test","1","0","XX2","0"
"0","","0","test","1","0","XX6","0"
"0","","0","test","1","0","XX","0"
"0","","0","test","1","0","XX3","0"
"0","","0","test","1","0","XX5","0"
"0","","0","test","1","0","XX1","0"
"0","","0","test","1","0","XX4","0"
