"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28512","ID:test_3 -- xxx2","testcases","Fri Nov 21 17:20:28 NZDT 2025","passed","Fri Nov 21 17:20:57 NZDT 2025","TestRunner","test_runner","",""
"","10088","ID:test_7 -- xxx6","testcases","Fri Nov 21 17:21:12 NZDT 2025","passed","Fri Nov 21 17:21:22 NZDT 2025","TestRunner","test_runner","",""
"","5527","ID:test_1 -- xxx","testcases","Fri Nov 21 17:20:14 NZDT 2025","passed","Fri Nov 21 17:20:19 NZDT 2025","TestRunner","test_runner","",""
"","5447","ID:test_4 -- xxx3","testcases","Fri Nov 21 17:20:58 NZDT 2025","passed","Fri Nov 21 17:21:03 NZDT 2025","TestRunner","test_runner","",""
"","2109","ID:test_6 -- xxx5","testcases","Fri Nov 21 17:21:08 NZDT 2025","passed","Fri Nov 21 17:21:10 NZDT 2025","TestRunner","test_runner","",""
"","6403","ID:test_2 -- xxx1","testcases","Fri Nov 21 17:20:21 NZDT 2025","passed","Fri Nov 21 17:20:27 NZDT 2025","TestRunner","test_runner","",""
"","2624","ID:test_5 -- xxx4","testcases","Fri Nov 21 17:21:05 NZDT 2025","passed","Fri Nov 21 17:21:07 NZDT 2025","TestRunner","test_runner","",""
